parameter_id,name,location,unit,default,low,high,classification,evidence_class,source,justification,expected_direction,gsa_eligible,integer
SAN-01,sim_turnover_balance_multiple,SupervisionParameters.sim_turnover_balance_multiple,x corporate balance,1.5,0.5,3.0,STYLIZATION,reference_class,Asset-turnover ratios of listed EU non-financials cluster roughly between 0.5 and 2 (order-of-magnitude reference class from standard financial-statement analysis); No direct empirical calibration; scenario range used for sensitivity analysis.,Bridge between simulation-scale balances and the statutory turnover-based ceiling rates (Part I.1).,"Higher -> larger sanction bases -> more deterrence, possibly more greenhushing.",True,False
SAN-02,benefit_multiplier,SupervisionParameters.benefit_multiplier,x benefit,1.5,0.5,3.0,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Disgorgement-plus factor on the estimated benefit of the misleading claim.,Higher -> stronger deterrence of profitable overstatement.,True,False
SAN-03,affected_revenue_rate,SupervisionParameters.affected_revenue_rate,share/severity,0.02,0.005,0.06,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Revenue-linked component of the experimental sanction formula.,Higher -> larger penalties for high-exposure channels.,True,False
SAN-04,ordinary_penalty_cap_rate,SupervisionParameters.ordinary_penalty_cap_rate,share of sim turnover,0.01,,,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Ordinary simulated ceiling; the 4% consumer legal anchor and 3% CSDDD ceiling are track-gated separately. Held fixed in the campaign to keep the track-gating interpretable.,Higher -> binding less often.,False,False
SAN-05,consumer_cross_border_cap_rate,SupervisionParameters.consumer_cross_border_cap_rate,share of turnover,0.04,,,LEGAL-ANCHOR,reference_class,"Directive (EU) 2019/2161, Art. 3(6) amending UCPD Art. 13 (national maximum must be at least 4% of relevant turnover for widespread infringements), ELI: dir/2019/2161/oj","Exact in-model cap anchored to the statutory minimum maximum, available only for coordinated widespread cross-border consumer infringements; EU law does not fix 4% as a uniform ceiling.",n/a (fixed legal anchor).,False,False
SAN-06,csddd_cap_rate,SupervisionParameters.csddd_cap_rate,share of turnover,0.03,,,LEGAL,legally_mandated,Directive (EU) 2026/470 as documented in docs/EU_GREENWASHING_MODEL.md (stylized in-model legal scenario; treat all derived values as scenario law); Art. 4(19) amending CSDDD Art. 27(4),Callable only for due-diligence cases.,n/a (legal ceiling).,False,False
SAN-07,penalty_repeat_escalation_rate,constants.PENALTY_REPEAT_ESCALATION_RATE,x per repeat,0.5,,,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Repeat-offender escalation below the legal ceiling.,Higher -> harsher recidivism response.,False,False
CAP-01,evidence_request_capacity,SupervisionParameters.evidence_request_capacity,cases/period,20,5,40,EXPERIMENT,reference_class,EU consumer-protection authorities decide tens to a few hundred misleading-advertising cases per year against far larger claim volumes (order of magnitude from published CPC network sweeps); No direct empirical calibration; scenario range used for sensitivity analysis.,Screening capacity per reporting period.,"Higher -> more coverage, more false positives possible.",True,True
CAP-02,investigation_capacity,SupervisionParameters.investigation_capacity,investigations/period,5,1,12,EXPERIMENT,reference_class,Formal proceedings are an order of magnitude rarer than screenings (same reference class as CAP-01); No direct empirical calibration; scenario range used for sensitivity analysis.,"Formal-investigation capacity per period, shared with conflict investigations (Part J).","Higher -> shorter queues, faster decisions.",True,True
CAP-03,random_surveillance_share,SupervisionParameters.random_surveillance_share,probability,0.1,0.0,0.3,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Random-surveillance draw deterring pure risk-score gaming.,"Higher -> better coverage of low-risk-score abuse, more capacity spent on clean claims.",True,False
CAP-04,correction_window_days,SupervisionParameters.correction_window_days,days,30,10,90,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,First-time correctable errors receive this compliance window.,"Longer -> slower correction, more exposure days.",True,True
CAP-05,regulatory_strictness,Simulation(regulatory_strictness=...),index 0-1,0.55,0.0,1.0,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Perceived enforcement strictness entering the corporate communication optimizer.,Higher -> less overstatement AND more greenhushing (chilling).,True,False
